species,deviance,null_mod,index,resolution,dev_explained,kind,index2
Agrostis schraderiana,0.14685578904378715,0.1361607240263606,TP5,1,0.01069506501742656,species,Topographic position index 5×5 (TP5)
Agrostis schraderiana,0.17835620631080518,0.1361607240263606,TP5,3,0.04219548228444458,species,Topographic position index 5×5 (TP5)
Agrostis schraderiana,0.2064973593561903,0.1361607240263606,TP5,7,0.0703366353298297,species,Topographic position index 5×5 (TP5)
Agrostis schraderiana,0.20598544392766627,0.1361607240263606,TP5,15,0.06982471990130568,species,Topographic position index 5×5 (TP5)
Agrostis schraderiana,0.1992302828205087,0.1361607240263606,TP5,19,0.0630695587941481,species,Topographic position index 5×5 (TP5)
Agrostis schraderiana,0.18417990380644533,0.1361607240263606,TP5,25,0.04801917978008474,species,Topographic position index 5×5 (TP5)
Agrostis schraderiana,0.1687182448210136,0.1361607240263606,TP5,31,0.03255752079465301,species,Topographic position index 5×5 (TP5)
Agrostis schraderiana,0.14315702117753182,0.1361607240263606,TP5,51,0.00699629715117122,species,Topographic position index 5×5 (TP5)
Agrostis schraderiana,0.1381064690648146,0.1361607240263606,TP5,71,0.00194574503845401,species,Topographic position index 5×5 (TP5)
Agrostis schraderiana,0.14027496618670954,0.1361607240263606,TP5,101,0.00411424216034894,species,Topographic position index 5×5 (TP5)
Agrostis schraderiana,0.15255183905830627,0.1361607240263606,TP5,151,0.01639111503194568,species,Topographic position index 5×5 (TP5)
Agrostis schraderiana,0.16602649860376317,0.1361607240263606,TP5,201,0.02986577457740258,species,Topographic position index 5×5 (TP5)
Agrostis schraderiana,0.198870483311096,0.1361607240263606,TP5,301,0.06270975928473543,species,Topographic position index 5×5 (TP5)
Agrostis schraderiana,0.1921614032076574,0.1361607240263606,TR3,1,0.05600067918129681,species,Terrain Ruggedness Index 3×3 (TR3)
Agrostis schraderiana,0.20360018338464855,0.1361607240263606,TR3,3,0.06743945935828799,species,Terrain Ruggedness Index 3×3 (TR3)
